ID,MatchNumber,ScoutName,Auto_Leave,Auto_Coral_L1,Auto_Coral_L2,Auto_Coral_L3,Auto_Coral_L4,Tele_Coral_L1,Tele_Coral_L2,Tele_Coral_L3,Tele_Coral_L4,Tele_Processor,Tele_Barge,Endgame_Parked,Endgame_Shallow_Cage,Endgame_Deep_Cage,Comments,Last Modified
,26,Jean,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,Issues accepting coral from human player.  It has to go straight in. No sideways tilt or it cant be accepted.,3/15/2025 9:22pm
,34,Ian,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,Did not park or climb in the endgame. No algae was scored or dislodged. Exclusively level four coral for this round.,3/15/2025 9:22pm
,37,Amber,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,,3/15/2025 9:24pm
,37,Zander,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,,3/15/2025 9:28pm
,41,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,1.00,0.00,0.00,Can dislodge algae. ,3/15/2025 9:21pm
,1,DAB,1.00,0.00,0.00,0.00,0.00,1.00,5.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,"Steady, can do top three levels.",3/15/2025 9:22pm
,7,keith,1.00,0.00,0.00,0.00,1.00,0.00,4.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,11,scott,1.00,0.00,0.00,0.00,1.00,0.00,5.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,Good coral,3/15/2025 9:20pm
,17,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,3.00,0.00,0.00,1.00,0.00,0.00,Good steady scorer.,3/15/2025 9:22pm
,22,Bailey,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:18pm
,22,Jean,1.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,,3/15/2025 9:22pm
,29,Jean,1.00,0.00,0.00,0.00,1.00,0.00,2.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,"removed one algae during autonomous.

kept going after points and didn't try to park/climb.",3/15/2025 9:22pm
,43,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sorry forgot to do, traumatized.",3/15/2025 9:18pm
,2,DAB,1.00,0.00,0.00,0.00,2.00,0.00,5.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,Can score top 3 levels,3/15/2025 9:22pm
,10,james,1.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,8.00,0.00,0.00,0.00,0.00,1.00,Human player got penalty s,3/15/2025 9:24pm
,14,james,0.00,0.00,0.00,0.00,1.00,0.00,1.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,It may not be accurate could not see MB,3/15/2025 9:24pm
,17,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Elevator got stuck in the up position. ,3/15/2025 9:28pm
,21,jeanette,1.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,3.00,0.00,0.00,1.00,0.00,0.00,Very fast ,3/15/2025 9:20pm
,30,DAB,1.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:18pm
,35,DAB,1.00,1.00,0.00,0.00,2.00,0.00,3.00,2.00,5.00,0.00,0.00,0.00,0.00,1.00,Can pull algae out,3/15/2025 9:18pm
,38,jeanette,0.00,0.00,0.00,0.00,3.00,1.00,0.00,2.00,6.00,0.00,0.00,0.00,0.00,1.00,They are good very fast,3/15/2025 9:20pm
,1,Zander,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Struggles with intake. coral gets stuck VERY easily if put in slightly wrong. ,3/15/2025 9:28pm
,6,Terri,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,Ratcheting sound from machine,3/15/2025 9:18pm
,14,Jean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"came late.
bumper came off beginning of tele-op. DON'T PICK! ",3/15/2025 9:18pm
,17,james,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gets Carl stuck,3/15/2025 9:24pm
,22,jeanette,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Can't pick from the floor. did not score well at all do not want.,3/15/2025 9:20pm
,26,Joyce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Never moved. ,3/15/2025 9:24pm
,35,Jean,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,"stopped working during last minute. orange light blinking, but robot didn't move.",3/15/2025 9:26pm
,39,James,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Lost a bumber,3/15/2025 9:27pm
,42,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,Keep dropping coral then went to defence then came back to score on the 3 level,3/15/2025 9:21pm
,5,james,1.00,0.00,1.00,0.00,1.00,0.00,0.00,2.00,9.00,1.00,0.00,0.00,0.00,1.00,Good did everything but pick up from the floor ,3/15/2025 9:24pm
,9,Zander,1.00,0.00,0.00,0.00,2.00,0.00,1.00,5.00,2.00,2.00,0.00,0.00,0.00,1.00,Fast and efficient. had a little mishap getting coral stuck inside but got it out quick,3/15/2025 9:28pm
,12,james,1.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,6.00,0.00,0.00,0.00,0.00,1.00,Can dislodge algae.  good do everything but floor,3/15/2025 9:24pm
,17,DAB,1.00,0.00,0.00,0.00,3.00,0.00,6.00,4.00,2.00,2.00,0.00,0.00,0.00,1.00,,3/15/2025 9:22pm
,21,Bailey,1.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,3.00,1.00,0.00,0.00,0.00,1.00,,3/15/2025 9:18pm
,21,Jean,1.00,0.00,0.00,0.00,3.00,1.00,3.00,4.00,5.00,2.00,0.00,0.00,0.00,1.00,,3/15/2025 9:22pm
,28,DAB,1.00,0.00,0.00,0.00,2.00,0.00,3.00,4.00,4.00,1.00,0.00,0.00,0.00,1.00,"Sorry, I might have missed something as I was watching us.",3/15/2025 9:18pm
,32,DAB,1.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:18pm
,36,Jean ,1.00,0.00,0.00,0.00,2.00,1.00,2.00,3.00,2.00,1.00,1.00,0.00,0.00,1.00,,3/15/2025 9:26pm
,41,James,0.00,0.00,0.00,0.00,2.00,0.00,0.00,4.00,6.00,1.00,0.00,0.00,0.00,1.00,Really good,3/15/2025 9:27pm
,2,jeanette,0.00,0.00,0.00,0.00,2.00,6.00,1.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,Can't pick from the floor. Very fast,3/15/2025 9:20pm
,8,Zander,1.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,6.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,14,jeanette,0.00,0.00,0.00,0.00,3.00,4.00,4.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,"Can pick from the floor. Can not do algae, does good with coral",3/15/2025 9:20pm
,20,Bailey,1.00,0.00,0.00,1.00,0.00,5.00,4.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,,3/15/2025 9:18pm
,20,Jean,1.00,0.00,0.00,0.00,2.00,5.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,1.00,"Fast climb
",3/15/2025 9:22pm
,24,Joyce,1.00,1.00,0.00,0.00,1.00,1.00,4.00,4.00,2.00,0.00,0.00,0.00,0.00,1.00,Can dislodge algae. Uses coral to dislodge algae. Can score all levels of coral on reef. Can't pick from the floor. ,3/15/2025 9:24pm
,29,Joyce,1.00,0.00,0.00,0.00,3.00,4.00,1.00,3.00,2.00,0.00,0.00,0.00,0.00,1.00,Would be good pick! scores many coral at a fast rate.,3/15/2025 9:24pm
,32,terri,1.00,0.00,0.00,0.00,2.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:26pm
,32,joke,0.00,0.00,0.00,0.00,3.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,may not be right,3/15/2025 9:28pm
,36,Amber,1.00,0.00,0.00,0.00,2.00,4.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:24pm
,44,DAB,1.00,0.00,0.00,0.00,1.00,0.00,5.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,,3/15/2025 9:19pm
,4,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,9,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:22pm
,13,keith,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:26pm
,19,Zander,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,,3/15/2025 9:28pm
,23,Joyce,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"Can't pick from the floor. Intake issue, struggled with dropping piece once collected.",3/15/2025 9:24pm
,29,scott,1.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,,3/15/2025 9:20pm
,32,Zander,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,1.00,0.00,0.00,0.00,1.00,,3/15/2025 9:28pm
,39,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,Can dislodge algae. Can do the processor. had a hard time getting up but made it. just barely,3/15/2025 9:21pm
